Time	resampled X
9.480000	0.47813150	
9.500000	0.51487041	
9.520000	0.72749513	
9.540000	1.48335052	
9.559999	4.20432854	
9.580000	13.86282444	
9.599999	28.35606766	
9.620000	20.88544655	
9.639999	14.43857861	
9.660000	12.01079082	
9.679999	12.24831963	
9.700000	10.03421211	
9.719999	8.52749348	
9.740000	8.01233673	
9.760000	6.06514311	
9.780000	4.52219248	
9.800000	3.62734056	
9.820000	3.01908731	
9.840000	2.44123268	
9.860000	1.61110413	
9.880000	1.00407410	
9.900000	0.76644081	
9.920000	0.63679796	
9.940000	0.61993343	
9.960000	0.66664529	
9.980000	0.62199289	
10.000000	0.51840085	
10.020000	0.43565953	
10.040000	0.39577904	
10.059999	0.38833717	
10.080000	0.36872298	
10.099999	0.31745088	
10.120000	0.32704872	
10.139999	0.38468552	
10.160000	0.47021201	
10.179999	0.59268153	
10.200000	1.03819633	
10.219999	2.80386043	
10.240000	9.04881001	
10.260000	25.74808311	
10.280000	22.47343445	
10.300000	15.41976833	
10.320000	11.17487907	
10.340000	11.07887554	
10.360000	9.10060406	
10.380000	7.93206549	
10.400000	7.26911116	
10.420000	6.40862036	
10.440000	4.37771749	
10.460000	3.49795794	
10.480000	2.60155773	
10.500000	2.14852953	
10.520000	1.52105677	
10.540000	1.07561219	
10.559999	0.88407642	
10.580000	0.72838992	
10.599999	0.58762360	
10.620000	0.58773053	
10.639999	0.47810119	
10.660000	0.36692992	
10.679999	0.33536667	
10.700000	0.33803341	
10.719999	0.32715341	
10.740000	0.32423991	
10.760000	0.32021478	
10.780000	0.31844860	
10.800000	0.31462178	
10.820000	0.36186945	
10.840000	0.46259665	
10.860000	0.82317692	
10.880000	1.99269462	
10.900000	6.13066578	
10.920000	20.48562622	
10.940000	25.56593895	
10.960000	17.49248886	
10.980000	11.70596504	
11.000000	11.05277729	
11.020000	9.55646420	
11.040000	7.66746807	
11.059999	6.67544699	
11.080000	6.82109070	
11.099999	4.62989998	
11.120000	3.67340779	
11.139999	2.71006083	
11.160000	2.20841551	
11.179999	1.57982695	
11.200000	1.21432829	
11.219999	0.93886548	
11.240000	0.79888862	
11.259999	0.66830379	
11.280000	0.64050138	
11.300000	0.57045728	
11.320000	0.47343516	
11.340000	0.42037642	
11.360000	0.42900643	
11.380000	0.41380426	
11.400000	0.39173222	
11.420000	0.37579519	
11.440000	0.35226685	
11.460000	0.37939224	
11.480000	0.42624837	
11.500000	0.51020205	
11.520000	0.70786810	
11.540000	1.47198868	
11.559999	4.20536661	
11.580000	13.75348186	
11.599999	27.46940613	
11.620000	19.20505524	
11.639999	12.72815609	
11.660000	10.83512402	
11.679999	10.09193802	
11.700000	7.90918636	
11.719999	6.93468285	
11.740000	7.00612545	
11.759999	5.30426884	
11.780000	4.01691008	
11.800000	3.02853799	
11.820000	2.42842436	
11.840000	1.79751778	
11.860000	1.32443142	
11.880000	0.98162377	
11.900000	0.85913259	
11.920000	0.72225183	
11.940000	0.64479035	
11.960000	0.59863186	
11.980000	0.48031241	
12.000000	0.39885429	
